Protein,Drug,Cell_lines
14622,DB00381,A375
8484,DB00381,A375
11175,DB00381,A375
16430,DB00381,A375
807,DB00381,A375
9356,DB00381,A375
16366,DB00381,A375
3151,DB00381,A375
4218,DB00381,A375
12144,DB00381,A375
10069,DB00381,A375
13692,DB00381,A375
6772,DB00381,A375
5167,DB00381,A375
17295,DB00381,A375
9791,DB00381,A375
9650,DB00381,A375
7985,DB00381,A375
14622,DB00381,A549
8484,DB00381,A549
11175,DB00381,A549
16430,DB00381,A549
807,DB00381,A549
9356,DB00381,A549
16366,DB00381,A549
3151,DB00381,A549
4218,DB00381,A549
12144,DB00381,A549
10069,DB00381,A549
13692,DB00381,A549
6772,DB00381,A549
5167,DB00381,A549
17295,DB00381,A549
9791,DB00381,A549
9650,DB00381,A549
7985,DB00381,A549
14622,DB00381,HEPG2
8484,DB00381,HEPG2
11175,DB00381,HEPG2
16430,DB00381,HEPG2
807,DB00381,HEPG2
9356,DB00381,HEPG2
16366,DB00381,HEPG2
3151,DB00381,HEPG2
4218,DB00381,HEPG2
12144,DB00381,HEPG2
10069,DB00381,HEPG2
13692,DB00381,HEPG2
6772,DB00381,HEPG2
5167,DB00381,HEPG2
17295,DB00381,HEPG2
9791,DB00381,HEPG2
9650,DB00381,HEPG2
7985,DB00381,HEPG2
14622,DB00381,HT29
8484,DB00381,HT29
11175,DB00381,HT29
16430,DB00381,HT29
807,DB00381,HT29
9356,DB00381,HT29
16366,DB00381,HT29
3151,DB00381,HT29
4218,DB00381,HT29
12144,DB00381,HT29
10069,DB00381,HT29
13692,DB00381,HT29
6772,DB00381,HT29
5167,DB00381,HT29
17295,DB00381,HT29
9791,DB00381,HT29
9650,DB00381,HT29
7985,DB00381,HT29
14622,DB00381,MCF7
8484,DB00381,MCF7
11175,DB00381,MCF7
16430,DB00381,MCF7
807,DB00381,MCF7
9356,DB00381,MCF7
16366,DB00381,MCF7
3151,DB00381,MCF7
4218,DB00381,MCF7
12144,DB00381,MCF7
10069,DB00381,MCF7
13692,DB00381,MCF7
6772,DB00381,MCF7
5167,DB00381,MCF7
17295,DB00381,MCF7
9791,DB00381,MCF7
9650,DB00381,MCF7
7985,DB00381,MCF7
14622,DB00381,NPC
8484,DB00381,NPC
11175,DB00381,NPC
16430,DB00381,NPC
807,DB00381,NPC
9356,DB00381,NPC
16366,DB00381,NPC
3151,DB00381,NPC
4218,DB00381,NPC
12144,DB00381,NPC
10069,DB00381,NPC
13692,DB00381,NPC
6772,DB00381,NPC
5167,DB00381,NPC
17295,DB00381,NPC
9791,DB00381,NPC
9650,DB00381,NPC
7985,DB00381,NPC
14622,DB00381,HA1E
8484,DB00381,HA1E
11175,DB00381,HA1E
16430,DB00381,HA1E
807,DB00381,HA1E
9356,DB00381,HA1E
16366,DB00381,HA1E
3151,DB00381,HA1E
4218,DB00381,HA1E
12144,DB00381,HA1E
10069,DB00381,HA1E
13692,DB00381,HA1E
6772,DB00381,HA1E
5167,DB00381,HA1E
17295,DB00381,HA1E
9791,DB00381,HA1E
9650,DB00381,HA1E
7985,DB00381,HA1E
14622,DB00381,HCC515
8484,DB00381,HCC515
11175,DB00381,HCC515
16430,DB00381,HCC515
807,DB00381,HCC515
9356,DB00381,HCC515
16366,DB00381,HCC515
3151,DB00381,HCC515
4218,DB00381,HCC515
12144,DB00381,HCC515
10069,DB00381,HCC515
13692,DB00381,HCC515
6772,DB00381,HCC515
5167,DB00381,HCC515
17295,DB00381,HCC515
9791,DB00381,HCC515
9650,DB00381,HCC515
7985,DB00381,HCC515
14622,DB00381,PC3
8484,DB00381,PC3
11175,DB00381,PC3
16430,DB00381,PC3
807,DB00381,PC3
9356,DB00381,PC3
16366,DB00381,PC3
3151,DB00381,PC3
4218,DB00381,PC3
12144,DB00381,PC3
10069,DB00381,PC3
13692,DB00381,PC3
6772,DB00381,PC3
5167,DB00381,PC3
17295,DB00381,PC3
9791,DB00381,PC3
9650,DB00381,PC3
7985,DB00381,PC3
14622,DB00381,VCAP
8484,DB00381,VCAP
11175,DB00381,VCAP
16430,DB00381,VCAP
807,DB00381,VCAP
9356,DB00381,VCAP
16366,DB00381,VCAP
3151,DB00381,VCAP
4218,DB00381,VCAP
12144,DB00381,VCAP
10069,DB00381,VCAP
13692,DB00381,VCAP
6772,DB00381,VCAP
5167,DB00381,VCAP
17295,DB00381,VCAP
9791,DB00381,VCAP
9650,DB00381,VCAP
7985,DB00381,VCAP
3151,DB00270,A549
7985,DB00270,A549
6772,DB00270,A549
10069,DB00270,A549
4218,DB00270,A549
16366,DB00270,A549
12853,DB00243,ASC
5696,DB00243,ASC
12650,DB00243,ASC
3151,DB00243,ASC
4218,DB00243,ASC
12144,DB00243,ASC
10069,DB00243,ASC
13692,DB00243,ASC
6772,DB00243,ASC
5167,DB00243,ASC
17295,DB00243,ASC
12853,DB00243,MCF7
5696,DB00243,MCF7
12650,DB00243,MCF7
3151,DB00243,MCF7
4218,DB00243,MCF7
12144,DB00243,MCF7
10069,DB00243,MCF7
13692,DB00243,MCF7
6772,DB00243,MCF7
5167,DB00243,MCF7
17295,DB00243,MCF7
12853,DB00243,HA1E
5696,DB00243,HA1E
12650,DB00243,HA1E
3151,DB00243,HA1E
4218,DB00243,HA1E
12144,DB00243,HA1E
10069,DB00243,HA1E
13692,DB00243,HA1E
6772,DB00243,HA1E
5167,DB00243,HA1E
17295,DB00243,HA1E
12853,DB00243,PC3
5696,DB00243,PC3
12650,DB00243,PC3
3151,DB00243,PC3
4218,DB00243,PC3
12144,DB00243,PC3
10069,DB00243,PC3
13692,DB00243,PC3
6772,DB00243,PC3
5167,DB00243,PC3
17295,DB00243,PC3
9521,DB00393,A375
17295,DB00393,A375
12144,DB00393,A375
5167,DB00393,A375
9521,DB00393,NCIH508
17295,DB00393,NCIH508
12144,DB00393,NCIH508
5167,DB00393,NCIH508
9521,DB00393,SW620
17295,DB00393,SW620
12144,DB00393,SW620
5167,DB00393,SW620
1294,DB00622,A375
15967,DB00622,A375
1294,DB00622,EFO27
15967,DB00622,EFO27
1294,DB00622,NCIH1694
15967,DB00622,NCIH1694
1294,DB00622,PC3
15967,DB00622,PC3
1294,DB00622,RMUGS
15967,DB00622,RMUGS
1294,DB00622,SW620
15967,DB00622,SW620
1294,DB00622,SW948
15967,DB00622,SW948
1294,DB00622,U937
15967,DB00622,U937
1294,DB00622,VCAP
15967,DB00622,VCAP
1294,DB00622,MCF7
15967,DB00622,MCF7
17269,DB00975,ASC
12937,DB00975,ASC
17269,DB00975,MCF7
12937,DB00975,MCF7
9647,DB00235,MCF7
9647,DB00235,NPC
9647,DB00235,VCAP
9647,DB00235,A549
9129,DB00203,A549
7468,DB00203,A549
3153,DB00203,A549
9129,DB00203,MCF7
7468,DB00203,MCF7
3153,DB00203,MCF7
9129,DB00203,VCAP
7468,DB00203,VCAP
3153,DB00203,VCAP
9129,DB00203,HCC515
7468,DB00203,HCC515
3153,DB00203,HCC515
9129,DB00203,NCIH596
7468,DB00203,NCIH596
3153,DB00203,NCIH596
9129,DB00203,SW948
7468,DB00203,SW948
3153,DB00203,SW948
4111,DB00820,MCF7
5457,DB00839,A549
8989,DB00839,A549
5457,DB00839,HA1E
8989,DB00839,HA1E
5457,DB00839,HCC515
8989,DB00839,HCC515
5457,DB00839,HT29
8989,DB00839,HT29
5457,DB00839,MCF7
8989,DB00839,MCF7
5457,DB00839,PC3
8989,DB00839,PC3
5457,DB00839,VCAP
8989,DB00839,VCAP
9947,DB00154,A375
10338,DB00154,A375
9947,DB00154,A549
10338,DB00154,A549
9947,DB00154,VCAP
10338,DB00154,VCAP
13612,DB00246,HCC515
5648,DB00246,HCC515
13183,DB00246,HCC515
3815,DB00246,HCC515
9201,DB00246,HCC515
14731,DB00246,HCC515
180,DB00246,HCC515
15935,DB00246,HCC515
17240,DB00246,HCC515
18876,DB00246,HCC515
13194,DB00246,HCC515
4278,DB00246,HCC515
13612,DB00246,HT29
5648,DB00246,HT29
13183,DB00246,HT29
3815,DB00246,HT29
9201,DB00246,HT29
14731,DB00246,HT29
180,DB00246,HT29
15935,DB00246,HT29
17240,DB00246,HT29
18876,DB00246,HT29
13194,DB00246,HT29
4278,DB00246,HT29
13612,DB00248,HA1E
5648,DB00248,HA1E
13612,DB00248,PC3
5648,DB00248,PC3
8994,DB00384,A375
9784,DB00384,A375
12597,DB00384,A375
5079,DB00384,A375
8994,DB00384,A549
