Protein,idx
ENSP00000000233,0
ENSP00000000412,1
ENSP00000001008,2
ENSP00000001146,3
ENSP00000002125,4
ENSP00000002165,5
ENSP00000002596,6
ENSP00000002829,7
ENSP00000003084,8
ENSP00000003100,9
ENSP00000003302,10
ENSP00000004531,11
ENSP00000005178,12
ENSP00000005226,13
ENSP00000005257,14
ENSP00000005260,15
ENSP00000005284,16
ENSP00000005286,17
ENSP00000005340,18
ENSP00000005386,19
ENSP00000005587,20
ENSP00000005995,21
ENSP00000006015,22
ENSP00000006053,23
ENSP00000006275,24
ENSP00000006526,25
ENSP00000006658,26
ENSP00000006724,27
ENSP00000006777,28
ENSP00000007390,29
ENSP00000007414,30
ENSP00000007699,31
ENSP00000007722,32
ENSP00000007735,33
ENSP00000008391,34
ENSP00000008527,35
ENSP00000008938,36
ENSP00000009041,37
ENSP00000009105,38
ENSP00000009530,39
ENSP00000010299,40
ENSP00000011292,41
ENSP00000011473,42
ENSP00000011619,43
ENSP00000011653,44
ENSP00000011898,45
ENSP00000012049,46
ENSP00000012443,47
ENSP00000013070,48
ENSP00000013125,49
ENSP00000013222,50
ENSP00000013807,51
ENSP00000014914,52
ENSP00000014930,53
ENSP00000016171,54
ENSP00000016913,55
ENSP00000016946,56
ENSP00000017003,57
ENSP00000019103,58
ENSP00000019317,59
ENSP00000020673,60
ENSP00000020926,61
ENSP00000023064,62
ENSP00000023939,63
ENSP00000025008,64
ENSP00000025301,65
ENSP00000026218,66
ENSP00000027335,67
ENSP00000029410,68
ENSP00000033079,69
ENSP00000035307,70
ENSP00000035383,71
ENSP00000037243,72
ENSP00000037502,73
ENSP00000037869,74
ENSP00000039007,75
ENSP00000039989,76
ENSP00000040584,77
ENSP00000040663,78
ENSP00000040738,79
ENSP00000040877,80
ENSP00000043402,81
ENSP00000044462,82
ENSP00000046087,83
ENSP00000046794,84
ENSP00000052754,85
ENSP00000053243,86
ENSP00000053468,87
ENSP00000053867,88
ENSP00000054650,89
ENSP00000054666,90
ENSP00000054668,91
ENSP00000054950,92
ENSP00000055077,93
ENSP00000055335,94
ENSP00000055682,95
ENSP00000056217,96
ENSP00000056233,97
ENSP00000061240,98
ENSP00000062104,99
ENSP00000064571,100
ENSP00000064724,101
ENSP00000064778,102
ENSP00000064780,103
ENSP00000070846,104
ENSP00000072644,105
ENSP00000072869,106
ENSP00000074304,107
ENSP00000075120,108
ENSP00000075503,109
ENSP00000078429,110
ENSP00000078445,111
ENSP00000080059,112
ENSP00000081029,113
ENSP00000083182,114
ENSP00000084798,115
ENSP00000085068,116
ENSP00000085219,117
ENSP00000086933,118
ENSP00000155840,119
ENSP00000155858,120
ENSP00000155926,121
ENSP00000156084,122
ENSP00000156109,123
ENSP00000156471,124
ENSP00000156626,125
ENSP00000157600,126
ENSP00000157812,127
ENSP00000158009,128
ENSP00000158166,129
ENSP00000158762,130
ENSP00000158771,131
ENSP00000159060,132
ENSP00000159087,133
ENSP00000159111,134
ENSP00000160262,135
ENSP00000160373,136
ENSP00000160382,137
ENSP00000160827,138
ENSP00000161006,139
ENSP00000161559,140
ENSP00000161863,141
ENSP00000162044,142
ENSP00000162391,143
ENSP00000162749,144
ENSP00000163416,145
ENSP00000164024,146
ENSP00000164133,147
ENSP00000164139,148
ENSP00000164227,149
ENSP00000164305,150
ENSP00000164640,151
ENSP00000165524,152
ENSP00000166139,153
ENSP00000166244,154
ENSP00000166345,155
ENSP00000167106,156
ENSP00000167586,157
ENSP00000167588,158
ENSP00000168148,159
ENSP00000168216,160
ENSP00000168712,161
ENSP00000169298,162
ENSP00000169551,163
ENSP00000170150,164
ENSP00000170168,165
ENSP00000170447,166
ENSP00000170564,167
ENSP00000171111,168
ENSP00000171757,169
ENSP00000171887,170
ENSP00000172229,171
ENSP00000173229,172
ENSP00000173527,173
ENSP00000173898,174
ENSP00000174618,175
ENSP00000175091,176
ENSP00000175238,177
ENSP00000175506,178
ENSP00000175756,179
ENSP00000176183,180
ENSP00000176195,181
