protein1	protein2	combined_score
ENSP00000000233	ENSP00000272298	490
ENSP00000000233	ENSP00000253401	198
ENSP00000000233	ENSP00000401445	159
ENSP00000000233	ENSP00000418915	606
ENSP00000000233	ENSP00000327801	167
ENSP00000000233	ENSP00000466298	267
ENSP00000000233	ENSP00000232564	201
ENSP00000000233	ENSP00000393379	150
ENSP00000000233	ENSP00000371253	240
ENSP00000000233	ENSP00000373713	271
ENSP00000000233	ENSP00000248929	157
ENSP00000000233	ENSP00000356737	418
ENSP00000000233	ENSP00000338766	278
ENSP00000000233	ENSP00000386135	185
ENSP00000000233	ENSP00000319192	185
ENSP00000000233	ENSP00000432568	909
ENSP00000000233	ENSP00000427900	910
ENSP00000000233	ENSP00000380271	182
